,Tweets,Case_Folding,Data_Cleaning,Tokenize,Normalization,Stopwords,Stemming,Label,
901,b'RT @CNNIndonesia: Aktivis perempuan Devi Asmarani mengatakan Permendikbud PPKS sangat dibutuhkan di lingkungan perguruan tinggi lantaran se\xe2\x80\xa6',b'rt @cnnindonesia: aktivis perempuan devi asmarani mengatakan permendikbud ppks sangat dibutuhkan di lingkungan perguruan tinggi lantaran se\xe2\x80\xa6', aktivis perempuan devi asmarani mengatakan permendikbud ppks sangat dibutuhkan di lingkungan perguruan tinggi lantaran se  xa,"['aktivis', 'perempuan', 'devi', 'asmarani', 'mengatakan', 'permendikbud', 'ppks', 'sangat', 'dibutuhkan', 'di', 'lingkungan', 'perguruan', 'tinggi', 'lantaran', 'se', 'xa']","['aktivis', 'perempuan', 'devi', 'asmarani', 'mengatakan', 'permendikbud', 'ppks', 'sangat', 'dibutuhkan', 'di', 'lingkungan', 'perguruan', 'tinggi', 'lantaran', 'se', 'xa']",aktivis perempuan devi asmarani permendikbud ppks dibutuhkan lingkungan perguruan lantaran,aktivis perempuan devi asmarani permendikbud ppks butuh lingkung guru lantar,1,
5353,"b'RT @GunRomli: Al-Baqarah 41: Janganlah kamu jual ayat-ayat-Ku dengan harga murah, tp bagi kelompok yg jg menolak Permendikbudristek PPKS in\xe2\x80\xa6'","b'rt @gunromli: al-baqarah 41: janganlah kamu jual ayat-ayat-ku dengan harga murah, tp bagi kelompok yg jg menolak permendikbudristek ppks in\xe2\x80\xa6'", al baqarah janganlah kamu jual ayat ayat ku dengan harga murah tp bagi kelompok yg jg menolak permendikbudristek ppks in  xa,"['al', 'baqarah', 'janganlah', 'kamu', 'jual', 'ayat', 'ayat', 'ku', 'dengan', 'harga', 'murah', 'tp', 'bagi', 'kelompok', 'yg', 'jg', 'menolak', 'permendikbudristek', 'ppks', 'in', 'xa']","['al', 'baqarah', 'janganlah', 'kamu', 'jual', 'ayat', 'ayat', 'ku', 'dengan', 'harga', 'murah', 'tp', 'bagi', 'kelompok', 'yg', 'jg', 'menolak', 'permendikbudristek', 'ppks', 'in', 'xa']",al baqarah jual ayat ayat ku harga murah tp kelompok yg jg menolak permendikbudristek ppks in,al baqarah jual ayat ayat ku harga murah tp kelompok yg jg tolak permendikbudristek ppks in,0,
66,"b'RT @muslimahnewscom: Alhasil bagi kalangan yang mendukung Permen PPKS, menganggap bahwa Permen ini sebagai terobosan karena ""berperspektif\xe2\x80\xa6'","b'rt @muslimahnewscom: alhasil bagi kalangan yang mendukung permen ppks, menganggap bahwa permen ini sebagai terobosan karena ""berperspektif\xe2\x80\xa6'", alhasil bagi kalangan yang mendukung permen ppks menganggap bahwa permen ini sebagai terobosan karena berperspektif  xa,"['alhasil', 'bagi', 'kalangan', 'yang', 'mendukung', 'permen', 'ppks', 'menganggap', 'bahwa', 'permen', 'ini', 'sebagai', 'terobosan', 'karena', 'berperspektif', 'xa']","['alhasil', 'bagi', 'kalangan', 'yang', 'mendukung', 'permen', 'ppks', 'menganggap', 'bahwa', 'permen', 'ini', 'sebagai', 'terobosan', 'karena', 'berperspektif', 'xa']",alhasil kalangan mendukung permen ppks menganggap permen terobosan berperspektif,alhasil kalang dukung permen ppks anggap permen terobos perspektif,1,
5384,"b'RT @asumsico: Alih-alih memperkarakan frasa ""tanpa persetujuan korban"", sejatinya Permendikbud PPKS dilihat sebagai alarm tegas atas tindak\xe2\x80\xa6'","b'rt @asumsico: alih-alih memperkarakan frasa ""tanpa persetujuan korban"", sejatinya permendikbud ppks dilihat sebagai alarm tegas atas tindak\xe2\x80\xa6'", alih alih memperkarakan frasa tanpa persetujuan korban sejatinya permendikbud ppks dilihat sebagai alarm tegas atas tindak  xa,"['alih', 'alih', 'memperkarakan', 'frasa', 'tanpa', 'persetujuan', 'korban', 'sejatinya', 'permendikbud', 'ppks', 'dilihat', 'sebagai', 'alarm', 'tegas', 'atas', 'tindak', 'xa']","['alih', 'alih', 'memperkarakan', 'frasa', 'tanpa', 'persetujuan', 'korban', 'sejatinya', 'permendikbud', 'ppks', 'dilihat', 'sebagai', 'alarm', 'tegas', 'atas', 'tindak', 'xa']",alih alih memperkarakan frasa persetujuan korban sejatinya permendikbud ppks alarm tindak,alih alih perkara frasa tuju korban sejati permendikbud ppks alarm tindak,1,
1149,b'RT @muslimahnewscom: Apakah Permendikbudristek 30/2021 (Permen PPKS) pada Perguruan Tinggi semakin menumbuhsuburkan pergaulan bebas?',b'rt @muslimahnewscom: apakah permendikbudristek 30/2021 (permen ppks) pada perguruan tinggi semakin menumbuhsuburkan pergaulan bebas?', apakah permendikbudristek permen ppks pada perguruan tinggi semakin menumbuhsuburkan pergaulan bebas,"['apakah', 'permendikbudristek', 'permen', 'ppks', 'pada', 'perguruan', 'tinggi', 'semakin', 'menumbuhsuburkan', 'pergaulan', 'bebas']","['apakah', 'permendikbudristek', 'permen', 'ppks', 'pada', 'perguruan', 'tinggi', 'semakin', 'menumbuhsuburkan', 'pergaulan', 'bebas']",permendikbudristek permen ppks perguruan menumbuhsuburkan pergaulan bebas,permendikbudristek permen ppks guru menumbuhsuburkan gaul bebas,,9
950,b'RT @fahmirf10: Artikel terbaru saya di Kolom @detikcom merespon untuk segera mengesahkan RUU TPKS dan poin penting Permendikbudristek 30/20\xe2\x80\xa6',b'rt @fahmirf10: artikel terbaru saya di kolom @detikcom merespon untuk segera mengesahkan ruu tpks dan poin penting permendikbudristek 30/20\xe2\x80\xa6', artikel terbaru saya di kolom merespon untuk segera mengesahkan ruu tpks dan poin penting permendikbudristek  xa,"['artikel', 'terbaru', 'saya', 'di', 'kolom', 'merespon', 'untuk', 'segera', 'mengesahkan', 'ruu', 'tpks', 'dan', 'poin', 'penting', 'permendikbudristek', 'xa']","['artikel', 'terbaru', 'saya', 'di', 'kolom', 'merespon', 'untuk', 'segera', 'mengesahkan', 'ruu', 'tpks', 'dan', 'poin', 'penting', 'permendikbudristek', 'xa']",artikel terbaru kolom merespon mengesahkan ruu tpks poin permendikbudristek,artikel baru kolom merespon kesah ruu tpks poin permendikbudristek,1,
785,b'RT @asumsico: Aturan yang diteken Nadiem Makarim untuk mencegah dan menangani kekerasan seksual di kampus dinilai sudah tepat dan harus did\xe2\x80\xa6',b'rt @asumsico: aturan yang diteken nadiem makarim untuk mencegah dan menangani kekerasan seksual di kampus dinilai sudah tepat dan harus did\xe2\x80\xa6', aturan yang diteken nadiem makarim untuk mencegah dan menangani kekerasan seksual di kampus dinilai sudah tepat dan harus did  xa,"['aturan', 'yang', 'diteken', 'nadiem', 'makarim', 'untuk', 'mencegah', 'dan', 'menangani', 'kekerasan', 'seksual', 'di', 'kampus', 'dinilai', 'sudah', 'tepat', 'dan', 'harus', 'did', 'xa']","['aturan', 'yang', 'diteken', 'nadiem', 'makarim', 'untuk', 'mencegah', 'dan', 'menangani', 'kekerasan', 'seksual', 'di', 'kampus', 'dinilai', 'sudah', 'tepat', 'dan', 'harus', 'did', 'xa']",aturan diteken nadiem makarim mencegah menangani kekerasan seksual kampus dinilai did,atur teken nadiem makarim cegah tangan keras seksual kampus nilai did,1,
897,b'RT @PPKS_ID: Bagaimana dosis pupuk tunggal TBM kelapa sawit pada tanah mineral?\n.\nSimak informasi ini dan bagikan kepada teman-teman anda.\xe2\x80\xa6',b'rt @ppks_id: bagaimana dosis pupuk tunggal tbm kelapa sawit pada tanah mineral?\n.\nsimak informasi ini dan bagikan kepada teman-teman anda.\xe2\x80\xa6', bagaimana dosis pupuk tunggal tbm kelapa sawit pada tanah mineral nsimak informasi ini dan bagikan kepada teman teman anda  xa,"['bagaimana', 'dosis', 'pupuk', 'tunggal', 'tbm', 'kelapa', 'sawit', 'pada', 'tanah', 'mineral', 'nsimak', 'informasi', 'ini', 'dan', 'bagikan', 'kepada', 'teman', 'teman', 'anda', 'xa']","['bagaimana', 'dosis', 'pupuk', 'tunggal', 'tbm', 'kelapa', 'sawit', 'pada', 'tanah', 'mineral', 'nsimak', 'informasi', 'ini', 'dan', 'bagikan', 'kepada', 'teman', 'teman', 'anda', 'xa']",dosis pupuk tunggal tbm kelapa sawit tanah mineral nsimak informasi bagikan teman teman,dosis pupuk tunggal tbm kelapa sawit tanah mineral nsimak informasi bagi teman teman,,9
5261,b'RT @PPKS_ID: Bagaimana keunggulan tanaman ini untuk kesehatan maupun pendapatan khususnya bagi pekebun sawit?\nSimak PPKS Note berikut sahab\xe2\x80\xa6',b'rt @ppks_id: bagaimana keunggulan tanaman ini untuk kesehatan maupun pendapatan khususnya bagi pekebun sawit?\nsimak ppks note berikut sahab\xe2\x80\xa6', bagaimana keunggulan tanaman ini untuk kesehatan maupun pendapatan khususnya bagi pekebun sawit nsimak ppks note berikut sahab  xa,"['bagaimana', 'keunggulan', 'tanaman', 'ini', 'untuk', 'kesehatan', 'maupun', 'pendapatan', 'khususnya', 'bagi', 'pekebun', 'sawit', 'nsimak', 'ppks', 'note', 'berikut', 'sahab', 'xa']","['bagaimana', 'keunggulan', 'tanaman', 'ini', 'untuk', 'kesehatan', 'maupun', 'pendapatan', 'khususnya', 'bagi', 'pekebun', 'sawit', 'nsimak', 'ppks', 'note', 'berikut', 'sahab', 'xa']",keunggulan tanaman kesehatan pendapatan pekebun sawit nsimak ppks note sahab,unggul tanam sehat dapat kebun sawit nsimak ppks note sahab,,9
5381,b'RT @CakraWikara: [PERMEN PPKS]\n\n@Kemdikbud_RI baru saja mengesahkan Peraturan Menteri (Permen) Nomor 30 Tahun 2021 tentang Pencegahan dan P\xe2\x80\xa6',b'rt @cakrawikara: [permen ppks]\n\n@kemdikbud_ri baru saja mengesahkan peraturan menteri (permen) nomor 30 tahun 2021 tentang pencegahan dan p\xe2\x80\xa6', baru saja mengesahkan peraturan menteri permen nomor tahun tentang pencegahan dan  xa,"['baru', 'saja', 'mengesahkan', 'peraturan', 'menteri', 'permen', 'nomor', 'tahun', 'tentang', 'pencegahan', 'dan', 'xa']","['baru', 'saja', 'mengesahkan', 'peraturan', 'menteri', 'permen', 'nomor', 'tahun', 'tentang', 'pencegahan', 'dan', 'xa']",mengesahkan peraturan menteri permen nomor pencegahan,kesah atur menteri permen nomor cegah,,9
