tweet.id,Label,Case_Folding,Data_Cleaning,Tokenize,Normalization,Stopword,Text
"b'ada yang udah baca isi permendikbud no.30 tentang PPKS ? kalau ada boleh dong dm, butuh temen diskusi buat bikin kajian, thank you.'",Positive,"b'ada yang udah baca isi permendikbud no.30 tentang ppks ? kalau ada boleh dong dm, butuh temen diskusi buat bikin kajian, thank you.'",ada yang udah baca isi permendikbud no tentang ppks kalau ada boleh dong dm butuh temen diskusi buat bikin kajian thank you,"['ada', 'yang', 'udah', 'baca', 'isi', 'permendikbud', 'no', 'tentang', 'ppks', 'kalau', 'ada', 'boleh', 'dong', 'dm', 'butuh', 'temen', 'diskusi', 'buat', 'bikin', 'kajian', 'thank', 'you']","['ada', 'yang', 'sudah', 'baca', 'isi', 'permendikbud', 'no', 'tentang', 'ppks', 'kalau', 'ada', 'boleh', 'dong', 'dm', 'butuh', 'teman', 'diskusi', 'buat', 'bikin', 'kajian', 'thank', 'you']","['baca', 'isi', 'permendikbud', 'no', 'ppks', 'butuh', 'teman', 'diskusi', 'bikin', 'kajian', 'thank', 'you']",baca isi permendikbud no ppks butuh teman diskusi bikin kajian thank you
"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\n.\n\nhttps://t.co/LRcJqK4yTD https://t.co/UsFft22hGo'",Negative,"b'aksi tolak permen ppks, cegah perzinaan dengan syariah | serba-serbi mmc\n\n.\n\nhttps://t.co/lrcjqk4ytd https://t.co/usfft22hgo'",aksi tolak permen ppks cegah perzinaan dengan syariah serba serbi mmc,"['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc']","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc']","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'syariah', 'serba', 'serbi']",aksi tolak permen ppks cegah perzinaan syariah serba serbi
"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\n Apa saja yang disampaikan dalam aksi kem\xe2\x80\xa6 https://t.co/RtAHY1CpjK'",Negative,"b'aksi tolak permen ppks, cegah perzinaan dengan syariah | serba-serbi mmc\n\n apa saja yang disampaikan dalam aksi kem\xe2\x80\xa6 https://t.co/rtahy1cpjk'",aksi tolak permen ppks cegah perzinaan dengan syariah serba serbi mmc apa saja yang disampaikan dalam aksi kem xe xa,"['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'apa', 'saja', 'yang', 'disampaikan', 'dalam', 'aksi', 'kem', 'xe', 'xa']","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'apa', 'saja', 'yang', 'disampaikan', 'dalam', 'aksi', 'kem', 'xe', 'xa']","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'syariah', 'serba', 'serbi', 'aksi', 'kem']",aksi tolak permen ppks cegah perzinaan syariah serba serbi aksi kem
"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC https://t.co/pV1MlSHVPo lewat @YouTube'",Negative,"b'aksi tolak permen ppks, cegah perzinaan dengan syariah | serba-serbi mmc https://t.co/pv1mlshvpo lewat @youtube'",aksi tolak permen ppks cegah perzinaan dengan syariah serba serbi mmc lewat,"['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'lewat']","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'lewat']","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'syariah', 'serba', 'serbi']",aksi tolak permen ppks cegah perzinaan syariah serba serbi
"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\nhttps://t.co/hsulR67fsL\n\nJangan lupa shar\xe2\x80\xa6 https://t.co/u3dXa7UvjZ'",Negative,"b'aksi tolak permen ppks, cegah perzinaan dengan syariah | serba-serbi mmc\n\nhttps://t.co/hsulr67fsl\n\njangan lupa shar\xe2\x80\xa6 https://t.co/u3dxa7uvjz'",aksi tolak permen ppks cegah perzinaan dengan syariah serba serbi mmc lupa shar xe xa,"['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'lupa', 'shar', 'xe', 'xa']","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'lupa', 'shar', 'xe', 'xa']","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'syariah', 'serba', 'serbi', 'lupa', 'shar']",aksi tolak permen ppks cegah perzinaan syariah serba serbi lupa shar
"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\nApa saja yang disampaikan dalam aksi kema\xe2\x80\xa6 https://t.co/QebJ7AFdgz'",Negative,"b'aksi tolak permen ppks, cegah perzinaan dengan syariah | serba-serbi mmc\n\napa saja yang disampaikan dalam aksi kema\xe2\x80\xa6 https://t.co/qebj7afdgz'",aksi tolak permen ppks cegah perzinaan dengan syariah serba serbi mmc napa saja yang disampaikan dalam aksi kema xe xa,"['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'napa', 'saja', 'yang', 'disampaikan', 'dalam', 'aksi', 'kema', 'xe', 'xa']","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'kenapa', 'saja', 'yang', 'disampaikan', 'dalam', 'aksi', 'kema', 'xe', 'xa']","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'syariah', 'serba', 'serbi', 'aksi', 'kema']",aksi tolak permen ppks cegah perzinaan syariah serba serbi aksi kema
"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\nSebagai bentuk reaksi atas disahkannya Pe\xe2\x80\xa6 https://t.co/yvwYjIlhUj'",Negative,"b'aksi tolak permen ppks, cegah perzinaan dengan syariah | serba-serbi mmc\n\nsebagai bentuk reaksi atas disahkannya pe\xe2\x80\xa6 https://t.co/yvwyjilhuj'",aksi tolak permen ppks cegah perzinaan dengan syariah serba serbi mmc nsebagai bentuk reaksi atas disahkannya pe xe xa,"['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'nsebagai', 'bentuk', 'reaksi', 'atas', 'disahkannya', 'pe', 'xe', 'xa']","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'nsebagai', 'bentuk', 'reaksi', 'atas', 'disahkannya', 'pe', 'xe', 'xa']","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'syariah', 'serba', 'serbi', 'nsebagai', 'bentuk', 'reaksi', 'disahkannya']",aksi tolak permen ppks cegah perzinaan syariah serba serbi nsebagai bentuk reaksi disahkannya
"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\nSebagai bentuk reaksi atas disahkannya Per\xe2\x80\xa6 https://t.co/sH4S2nYg6R'",Negative,"b'aksi tolak permen ppks, cegah perzinaan dengan syariah | serba-serbi mmc\nsebagai bentuk reaksi atas disahkannya per\xe2\x80\xa6 https://t.co/sh4s2nyg6r'",aksi tolak permen ppks cegah perzinaan dengan syariah serba serbi mmc nsebagai bentuk reaksi atas disahkannya per xe xa,"['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'nsebagai', 'bentuk', 'reaksi', 'atas', 'disahkannya', 'per', 'xe', 'xa']","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'nsebagai', 'bentuk', 'reaksi', 'atas', 'disahkannya', 'per', 'xe', 'xa']","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'syariah', 'serba', 'serbi', 'nsebagai', 'bentuk', 'reaksi', 'disahkannya']",aksi tolak permen ppks cegah perzinaan syariah serba serbi nsebagai bentuk reaksi disahkannya
"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\nSimak selengkapnya dalam video berikut!\xe2\x80\xa6 https://t.co/BHHmrlsuvg'",Negative,"b'aksi tolak permen ppks, cegah perzinaan dengan syariah | serba-serbi mmc\nsimak selengkapnya dalam video berikut!\xe2\x80\xa6 https://t.co/bhhmrlsuvg'",aksi tolak permen ppks cegah perzinaan dengan syariah serba serbi mmc nsimak selengkapnya dalam video berikut xe xa,"['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'nsimak', 'selengkapnya', 'dalam', 'video', 'berikut', 'xe', 'xa']","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'nsimak', 'selengkapnya', 'dalam', 'video', 'berikut', 'xe', 'xa']","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'syariah', 'serba', 'serbi', 'nsimak', 'selengkapnya', 'video']",aksi tolak permen ppks cegah perzinaan syariah serba serbi nsimak selengkapnya video
"b'Aksi tolak permen PPKS, cegah perzinahan dengan syariah\n\nhttps://t.co/H5IYvCr0Uz\n\n#Permendikbutristek\n#AksiTolakPermendikbutristek\n#MMC'",Negative,"b'aksi tolak permen ppks, cegah perzinahan dengan syariah\n\nhttps://t.co/h5iyvcr0uz\n\n#permendikbutristek\n#aksitolakpermendikbutristek\n#mmc'",aksi tolak permen ppks cegah perzinahan dengan syariah,"['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinahan', 'dengan', 'syariah']","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinahan', 'dengan', 'syariah']","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinahan', 'syariah']",aksi tolak permen ppks cegah perzinahan syariah
