No,Tweets,Case_Folding,Data_Cleaning,Tokenize,Normalization,Stopwords,Stemming,Label
901,b'RT @CNNIndonesia: Aktivis perempuan Devi Asmarani mengatakan Permendikbud PPKS sangat dibutuhkan di lingkungan perguruan tinggi lantaran se\xe2\x80\xa6',b'rt @cnnindonesia: aktivis perempuan devi asmarani mengatakan permendikbud ppks sangat dibutuhkan di lingkungan perguruan tinggi lantaran se\xe2\x80\xa6', aktivis perempuan devi asmarani mengatakan permendikbud ppks sangat dibutuhkan di lingkungan perguruan tinggi lantaran se  xa,"['aktivis', 'perempuan', 'devi', 'asmarani', 'mengatakan', 'permendikbud', 'ppks', 'sangat', 'dibutuhkan', 'di', 'lingkungan', 'perguruan', 'tinggi', 'lantaran', 'se', 'xa']","['aktivis', 'perempuan', 'devi', 'asmarani', 'mengatakan', 'permendikbud', 'ppks', 'sangat', 'dibutuhkan', 'di', 'lingkungan', 'perguruan', 'tinggi', 'lantaran', 'se', 'xa']",aktivis perempuan devi asmarani permendikbud ppks dibutuhkan lingkungan perguruan lantaran,aktivis perempuan devi asmarani permendikbud ppks butuh lingkung guru lantar,1
5353,"b'RT @GunRomli: Al-Baqarah 41: Janganlah kamu jual ayat-ayat-Ku dengan harga murah, tp bagi kelompok yg jg menolak Permendikbudristek PPKS in\xe2\x80\xa6'","b'rt @gunromli: al-baqarah 41: janganlah kamu jual ayat-ayat-ku dengan harga murah, tp bagi kelompok yg jg menolak permendikbudristek ppks in\xe2\x80\xa6'", al baqarah janganlah kamu jual ayat ayat ku dengan harga murah tp bagi kelompok yg jg menolak permendikbudristek ppks in  xa,"['al', 'baqarah', 'janganlah', 'kamu', 'jual', 'ayat', 'ayat', 'ku', 'dengan', 'harga', 'murah', 'tp', 'bagi', 'kelompok', 'yg', 'jg', 'menolak', 'permendikbudristek', 'ppks', 'in', 'xa']","['al', 'baqarah', 'janganlah', 'kamu', 'jual', 'ayat', 'ayat', 'ku', 'dengan', 'harga', 'murah', 'tp', 'bagi', 'kelompok', 'yg', 'jg', 'menolak', 'permendikbudristek', 'ppks', 'in', 'xa']",al baqarah jual ayat ayat ku harga murah tp kelompok yg jg menolak permendikbudristek ppks in,al baqarah jual ayat ayat ku harga murah tp kelompok yg jg tolak permendikbudristek ppks in,0
66,"b'RT @muslimahnewscom: Alhasil bagi kalangan yang mendukung Permen PPKS, menganggap bahwa Permen ini sebagai terobosan karena ""berperspektif\xe2\x80\xa6'","b'rt @muslimahnewscom: alhasil bagi kalangan yang mendukung permen ppks, menganggap bahwa permen ini sebagai terobosan karena ""berperspektif\xe2\x80\xa6'", alhasil bagi kalangan yang mendukung permen ppks menganggap bahwa permen ini sebagai terobosan karena berperspektif  xa,"['alhasil', 'bagi', 'kalangan', 'yang', 'mendukung', 'permen', 'ppks', 'menganggap', 'bahwa', 'permen', 'ini', 'sebagai', 'terobosan', 'karena', 'berperspektif', 'xa']","['alhasil', 'bagi', 'kalangan', 'yang', 'mendukung', 'permen', 'ppks', 'menganggap', 'bahwa', 'permen', 'ini', 'sebagai', 'terobosan', 'karena', 'berperspektif', 'xa']",alhasil kalangan mendukung permen ppks menganggap permen terobosan berperspektif,alhasil kalang dukung permen ppks anggap permen terobos perspektif,1
5384,"b'RT @asumsico: Alih-alih memperkarakan frasa ""tanpa persetujuan korban"", sejatinya Permendikbud PPKS dilihat sebagai alarm tegas atas tindak\xe2\x80\xa6'","b'rt @asumsico: alih-alih memperkarakan frasa ""tanpa persetujuan korban"", sejatinya permendikbud ppks dilihat sebagai alarm tegas atas tindak\xe2\x80\xa6'", alih alih memperkarakan frasa tanpa persetujuan korban sejatinya permendikbud ppks dilihat sebagai alarm tegas atas tindak  xa,"['alih', 'alih', 'memperkarakan', 'frasa', 'tanpa', 'persetujuan', 'korban', 'sejatinya', 'permendikbud', 'ppks', 'dilihat', 'sebagai', 'alarm', 'tegas', 'atas', 'tindak', 'xa']","['alih', 'alih', 'memperkarakan', 'frasa', 'tanpa', 'persetujuan', 'korban', 'sejatinya', 'permendikbud', 'ppks', 'dilihat', 'sebagai', 'alarm', 'tegas', 'atas', 'tindak', 'xa']",alih alih memperkarakan frasa persetujuan korban sejatinya permendikbud ppks alarm tindak,alih alih perkara frasa tuju korban sejati permendikbud ppks alarm tindak,1
1149,b'RT @muslimahnewscom: Apakah Permendikbudristek 30/2021 (Permen PPKS) pada Perguruan Tinggi semakin menumbuhsuburkan pergaulan bebas?',b'rt @muslimahnewscom: apakah permendikbudristek 30/2021 (permen ppks) pada perguruan tinggi semakin menumbuhsuburkan pergaulan bebas?', apakah permendikbudristek permen ppks pada perguruan tinggi semakin menumbuhsuburkan pergaulan bebas,"['apakah', 'permendikbudristek', 'permen', 'ppks', 'pada', 'perguruan', 'tinggi', 'semakin', 'menumbuhsuburkan', 'pergaulan', 'bebas']","['apakah', 'permendikbudristek', 'permen', 'ppks', 'pada', 'perguruan', 'tinggi', 'semakin', 'menumbuhsuburkan', 'pergaulan', 'bebas']",permendikbudristek permen ppks perguruan menumbuhsuburkan pergaulan bebas,permendikbudristek permen ppks guru menumbuhsuburkan gaul bebas,0
785,b'RT @asumsico: Aturan yang diteken Nadiem Makarim untuk mencegah dan menangani kekerasan seksual di kampus dinilai sudah tepat dan harus did\xe2\x80\xa6',b'rt @asumsico: aturan yang diteken nadiem makarim untuk mencegah dan menangani kekerasan seksual di kampus dinilai sudah tepat dan harus did\xe2\x80\xa6', aturan yang diteken nadiem makarim untuk mencegah dan menangani kekerasan seksual di kampus dinilai sudah tepat dan harus did  xa,"['aturan', 'yang', 'diteken', 'nadiem', 'makarim', 'untuk', 'mencegah', 'dan', 'menangani', 'kekerasan', 'seksual', 'di', 'kampus', 'dinilai', 'sudah', 'tepat', 'dan', 'harus', 'did', 'xa']","['aturan', 'yang', 'diteken', 'nadiem', 'makarim', 'untuk', 'mencegah', 'dan', 'menangani', 'kekerasan', 'seksual', 'di', 'kampus', 'dinilai', 'sudah', 'tepat', 'dan', 'harus', 'did', 'xa']",aturan diteken nadiem makarim mencegah menangani kekerasan seksual kampus dinilai did,atur teken nadiem makarim cegah tangan keras seksual kampus nilai did,1
5381,b'RT @CakraWikara: [PERMEN PPKS]\n\n@Kemdikbud_RI baru saja mengesahkan Peraturan Menteri (Permen) Nomor 30 Tahun 2021 tentang Pencegahan dan P\xe2\x80\xa6',b'rt @cakrawikara: [permen ppks]\n\n@kemdikbud_ri baru saja mengesahkan peraturan menteri (permen) nomor 30 tahun 2021 tentang pencegahan dan p\xe2\x80\xa6', baru saja mengesahkan peraturan menteri permen nomor tahun tentang pencegahan dan  xa,"['baru', 'saja', 'mengesahkan', 'peraturan', 'menteri', 'permen', 'nomor', 'tahun', 'tentang', 'pencegahan', 'dan', 'xa']","['baru', 'saja', 'mengesahkan', 'peraturan', 'menteri', 'permen', 'nomor', 'tahun', 'tentang', 'pencegahan', 'dan', 'xa']",mengesahkan peraturan menteri permen nomor pencegahan,kesah atur menteri permen nomor cegah,1
394,b'RT @DivHumas_Polri: 21 Bentuk Kekerasan Seksual Yang Dilarang\n\nKemendikbud Ristek resmi mengesahkan Permendikbud Nomor 30 Tahun 2021 tentan\xe2\x80\xa6',b'rt @divhumas_polri: 21 bentuk kekerasan seksual yang dilarang\n\nkemendikbud ristek resmi mengesahkan permendikbud nomor 30 tahun 2021 tentan\xe2\x80\xa6', bentuk kekerasan seksual yang dilarang nkemendikbud ristek resmi mengesahkan permendikbud nomor tahun tentan  xa,"['bentuk', 'kekerasan', 'seksual', 'yang', 'dilarang', 'nkemendikbud', 'ristek', 'resmi', 'mengesahkan', 'permendikbud', 'nomor', 'tahun', 'tentan', 'xa']","['bentuk', 'kekerasan', 'seksual', 'yang', 'dilarang', 'nkemendikbud', 'ristek', 'resmi', 'mengesahkan', 'permendikbud', 'nomor', 'tahun', 'tentan', 'xa']",bentuk kekerasan seksual dilarang nkemendikbud ristek resmi mengesahkan permendikbud nomor tentan,bentuk keras seksual larang nkemendikbud ristek resmi kesah permendikbud nomor tentan,1
1101,"b'RT @Jaring_UburUbur: @bertanyarl berarti selama ini bnyk yg ngalamin tpi gamau speak up krn ngerasa gada payung untuk mereka, bayangin bati\xe2\x80\xa6'","b'rt @jaring_uburubur: @bertanyarl berarti selama ini bnyk yg ngalamin tpi gamau speak up krn ngerasa gada payung untuk mereka, bayangin bati\xe2\x80\xa6'", berarti selama ini bnyk yg ngalamin tpi gamau speak up krn ngerasa gada payung untuk mereka bayangin bati  xa,"['berarti', 'selama', 'ini', 'bnyk', 'yg', 'ngalamin', 'tpi', 'gamau', 'speak', 'up', 'krn', 'ngerasa', 'gada', 'payung', 'untuk', 'mereka', 'bayangin', 'bati', 'xa']","['berarti', 'selama', 'ini', 'bnyk', 'yg', 'ngalamin', 'tpi', 'gamau', 'speak', 'up', 'krn', 'ngerasa', 'gada', 'payung', 'untuk', 'mereka', 'bayangin', 'bati', 'xa']",bnyk yg ngalamin tpi gamau speak up krn ngerasa gada payung bayangin bati,bnyk yg ngalamin tpi gamau speak up krn ngerasa gada payung bayangin bati,1
5382,b'RT @eradotid: Berikut 21 bentuk kekerasan seksual yang diatur dalam Permendikbud Nomor 30 Tahun 2021 tentang PPKS di lingkungan kampus: htt\xe2\x80\xa6',b'rt @eradotid: berikut 21 bentuk kekerasan seksual yang diatur dalam permendikbud nomor 30 tahun 2021 tentang ppks di lingkungan kampus: htt\xe2\x80\xa6', berikut bentuk kekerasan seksual yang diatur dalam permendikbud nomor tahun tentang ppks di lingkungan kampus htt  xa,"['berikut', 'bentuk', 'kekerasan', 'seksual', 'yang', 'diatur', 'dalam', 'permendikbud', 'nomor', 'tahun', 'tentang', 'ppks', 'di', 'lingkungan', 'kampus', 'htt', 'xa']","['berikut', 'bentuk', 'kekerasan', 'seksual', 'yang', 'diatur', 'dalam', 'permendikbud', 'nomor', 'tahun', 'tentang', 'ppks', 'di', 'lingkungan', 'kampus', 'htt', 'xa']",bentuk kekerasan seksual diatur permendikbud nomor ppks lingkungan kampus,bentuk keras seksual atur permendikbud nomor ppks lingkung kampus,1
